,fraudulent,text
0,0,"analyst red canary computer security startup provides managed threat detection alert customers business cyber attack. obsessed reducing time incident remediation thus decreasing damage done. elite team comprised malware experts, engineers, security analysts collaborate implement innovative scalable detection methods world’s diabolical malware.we passionate creating customers life cultivating unmatched employee lifestyle remote work, top-notch benefits, employee trust. take great pride providing excellent service customers depend us help defend business.locationswe work remotely. offices sterling, va denver, co. live near one locations want to, that’s great. offices designed work whether like drop week work team work hacker hours wee morning hours.our sterling office close enough washington d.c. head downtown evening far enough away fight awful traffic. denver office nestled along rocky mountains denver boulder best hiking, skiing, tech startups, craft breweries country nearby. red canary needs cyber threat experts join team detect malware threats customers. analysts responsible triaging, validating communicating suspected threats red canary customers’ systems.our event data derived primarily endpoint- network-based data sources, enriched using internally-developed externally-acquired intelligence, correlated identify threats individual systems/users also broader, organizational level.we need people working knowledge of:malware analysis and/or remediation microsoft windows platformsmicrosoft windows apple os x platforms generalmicrosoft windows systems administrationcomputer security best practicesyou able hit ground running even faster experience in:computer forensic investigations analysisnetwork forensic investigations analysisenterprise information security technology supportmalware reverse engineeringthreat intelligence collection analysis computer & network security full-time"
1,0,"client service professional us, nc, raleigh lei home enhancements, ohio based company installing windows, siding, doors decks homes throughout tri-state, dayton, indianapolis columbus seven years.with pride work, honesty integrity professionalism companywide dedication customer satisfaction, offer wide range remodeling services homeowners.whether project large small, understand trust confidence customer places skilled hands. that's use superior quality products exceptional craftsmanship achieve long-lasting beauty, performance value home. take every measure carefully ensure craftsman properly trained phases home improvement. likewise, sales staff customer service representatives draw upon years experience quality installations.from day one, welcome questions concerns may renovation process. goal provide beautiful practical home improvements stand test time, along peace mind made excellent selection home. clients interested home owners would like purchase home improvement products. speaking clients may involve product inquiries, product service orders, appointment scheduling explaining current promotions pricing.career opportunity:you deserve opportunity provides exceptional benefits security room grow. expanding 5 cities year unlimited opportunities move company. requirements: prior customer service experience preferred ability diagnose customer issues quickly excellent written communication documentation skills self-motivated able work independently ability communicate work effectively team members professional, articulate voice enjoy working fast-paced environment maintaining professional attitude offer:paid professional trainingmedical dental benefits everyone (p/t f/t)401(k)vacation holiday payfull-time part-time shifts offered consumer services customer service us"
2,0,"receptionist/office clerk us, mi, watervliet ""our mission clients preserve independence, enhance quality life, promote health &amp; wellbeing consider us part family."" home sweet home in-home care leading southwest michigan high quality home care services. currently seeking receptionist/office clerks paw paw st joseph offices. familiar office environment. ideal candidate must client focused sincere desire ensure clients receive exceptional home care. desire make difference become part great team apply today!position responsibilities includehandle inbound/outbound client/caregiver phone calls ensure services provided exceed client's expectations data entry, filing, clerical duties neededmotivate caregivers work team. qualifications includeprevious office experiencestrong communication skills pleasant personalityproficient data entryexperience microsoft word, excel software applicationsorganized detail orientedable follow instructions work little supervisionknowledgeable caregiver's dutiesable pass pre-employment background screen hospital & health care administrative us part-time"
3,0,"sales account executive us, ca, san francisco live increasingly social visual world. text posts replaced photos videos dominate social marketing landscape. companies want need leverage authentic often brand-related content pixlee helps it.pixlee revolutionizing relationship people brands, helping companies leverage social photos/videos market voice customers. pixlee platform enables brands collect, curate repurpose consumer photos videos drive engagement conversion. sit intersection social aggregation big data, surfacing best content effectively deploying support business goals.pixlee andreessen horowitz xseed capital portfolio company. customers include major brands like sony playstation, uggs, coca-cola, bmw, 1-800 flowers, jamba juice; ¼ nfl nba teams.at pixlee work hard, love learn, value teamwork humility. we’ve got big vision we’re looking game changers. pixlee, look talented, high-potential individuals aren’t jerks. proposition simple: pixlee offers unique opportunity thrive grow rapidly small-team startup environment operating big-company scale. customers largest brands world everything affects millions consumers.about position:pixlee seeking hungry quota-carrying, solutions-oriented account executive. job prospect, qualify, educate close right enterprise buyers pixlee’s platform. you’ll also work team improve products valuable feedback contribute building sales organization startup! job based san francisco headquarters.responsibilities:own full sales cycle. prospect new business, develop opportunities, demo product, close sales.majority outbound salesbecome expert identifying challenges customers face building successful social marketing strategy; demonstrate pixlee overcome challenges help achieve customers’ goals.lead consultative, solution-based sell help marketers use pixlee tools drive social acquisition, engagement, conversion goals.manage existing client relationships contract renewals.build deep understand pixlee product, market, competition.provide critical product/process feedback improve pixlee’s platform sales organizationmore pixlee:we live increasingly social visual world. text posts replaced photos videos dominate social marketing landscape. companies want need leverage authentic often brand-related content pixlee helps it.pixlee revolutionizing relationship people brands, helping companies leverage social photos/videos market voice customers. pixlee platform enables brands collect, curate repurpose consumer photos videos drive engagement conversion. sit intersection social media big data, surfacing best content effectively deploying support business goals.pixlee andreessen horowitz xseed capital portfolio company. customers include major brands like sony playstation, red bull, coca-cola, bmw, 1-800 flowers, jamba juice; ¼ nfl nba.at pixlee work hard, love learn, value teamwork humility. we’ve got big vision we’re looking game changers. 2+ years direct sales experience proven track record success selling levels organization including managers, executives, cxos large brandsexperience software-as-a-service environment; selling saas product. $100,000 average contract values 2m+ annual quotasstrong consultative sales skills understanding determine prospects’ needs meet customer objectives goals.a strong work ethic superior organizational skills; ability fluidly manage entire sales pipeline report via crm teama passion web technology social media, capacity understand works.ba bs degree. bonus:experience selling b2b marketing product cmo/marketing suite customerssales experience fast-paced startup environmenta network potential clients experience salesany technical skills/knowledge e.g. api, css, html, etc. competitive compensationhealth insurancepto marketing advertising sales us full-time"
4,0,"python developer gb, , london playfair capital early stage technology investment fund based london. we're looking maker mentalityare focused ‘doing’; creation new software designed developed engage delight end user?best showdoes thought next release used millions keep striving higher standards? keen learn flex python muscles?team playersure, love code. also seek expect critical review work teammates? equally generous praise guidance talented peers? skills experienceexpert knowledge python1 – 2+ years experience python developmentstrong knowledge html/cssstrong knowledge sqldegree computer science equivalentstrong knowledge web technologiesa passion processes best practicestrong, analytical approach problem solvingnice haves:knowledge flask frameworkknowledge elastic searchexperience working rest apisexperience aws usline-up powers event discovery. world-leading automated event listings technology powers iphone app ‘what’s on’ global media brands.over 20 million api requests per month across growing networkone uk’s top events apps, launched may 2014 featured apple’s ‘best new apps’ 3 timesour technology powers ‘what’s on’ 60 titles including household names: magic fm, london24, manchester evening news, irish mirror daily recordseedcamp london winners funded top angel investorsbased warner yard clerkenwellwe eat cake drink beer fridays internet information technology gb full-time"
5,0,"entry level sales us, az, phoenix general summary: achieves maximum sales profitability, growth account penetration within assigned territory and/or market segment effectively selling company’s products and/or related services. personally contacts secures new business accounts/customers.core functions:•promotes/sells/secures orders existing prospective customers relationship-based approach.•demonstrates products services existing/potential customers assists themin selecting best suited needs.details function:•establishes, develops maintains business relationships withcurrent customers prospective customers assigned territory/market segment generate new business organization’s products/services.•makes telephone calls in-person visits presentations existing prospective customers.•researches sources developing prospective customers information determine potential.•develops clear effective written proposals/quotations current prospective customers.•expedites resolution customer problems complaints.•coordinates sales effort marketing, sales management, accounting, logistics technical servicegroups.•analyzes territory/market’s potential determines value existing prospective customers value organization.•creates manages customer value plan existing customers highlighting profile, share value opportunities.•identifies advantages compares organization’s products/services.•plans organizes personal sales strategy maximizing return time investment territory/segment.•supplies management oral written reports customer needs, problems, interests, competitive activities, potential new products services.•keeps abreast product applications, technical services, market conditions, competitive activities, advertising promotional trends reading pertinent literature consulting marketing technical service areas.qualifications:demonstrated aptitude problem-solving; ability determine solutions customers (consultative sales approach). must results-orientated able work independently within team environment. must possess excellent verbal written communication skills. proficiency using microsoft office suite applications contact management software. valid driver’s license. great health dentalfast advancement opportunitiesgreat income potentialcompetitive bonus programcar allowance financial services sales us full-time"
6,0,"clinic administrator gb, lnd, newmedica dynamic, innovative uk healthcare company works partnership nhs deliver specialist clinical eye care services safely effectively. newmedica growing rapidly operates services number locations around uk. newmedica clinics operate fixed mobile settings, community nhs trust sites. operations divisionthe operations division responsible delivery newmedica’s established services behalf nhs trusts pcts ongoing relationship. division made management, clinical administrative staff; permanent contract basis.purpose roledue growth business, newmedica setting centralised administration team deal administration clinics. administrator responsible ensuring clinics set patient appointments booked. manage accuracy patient data including liaising gp surgeries, clinics patients ensuring newmedica’s electronic patient records date. also central point contact telephone queries patients clinic staff.key responsibilities:to manage set clinic diaries.to book patient appointments, ensuring clinics full.to liaise gp surgeries ensure patient data correct, check patient demographics treatment pathways answer clinical questions may arise.to manage data newmedica’s electronic patient records, adding, importing archiving data ensure date.· work closely senior clinic assistants ensure smooth flow patient information administration team clinic.to act central point contact telephone enquiries patients clinic staff, resolving escalating issues appropriate.· input data patient satisfaction surveys analyse results requested operations director.to act principal point contact clinic related administrative tasks, ensuring templates correct processes followed.to undertake ad hoc administrative tasks required ensure smooth running clinics. personal:outstanding telephone manner ability adapt approach different situations.excellent verbal written communication skills.good organisation skills ability multi-task.committed delivery consistently high standards administration.self starter ability work initiative, well working well within team.enjoys routine rhythm process driven environment.comfortable making significant contribution small team.able balance working independently appropriate escalation.technical:educated level standard equivalent.proven customer service skills passion customer care.excellent computer skills. comfortable microsoft office products ability learn new patient record systems. health, wellness fitness administrative gb full-time"
7,0,"care assistant gb, abd, aberdeenshire priority care group family run care group 6 care homes scotland.working us part growing team rewarding experience excellent opportunities career advancement training.there many benefits working priority care group. include:priority rewards schemeadditional annual leave incentiveshighly competitive rates payexcellent vocational trainingwork growing, family run care groupcareer progression internal promotionif contientious, caring person passion providing highest levels service care would love hear you.please browse current job vacancies right find right job now.thanks drumdarroch care home, insch, aberdeenshirepriority care group passionate ensuring standards homes highest level times. constantly strive develop improve service, always looking ways make time family spend us enjoyable, fulfilling enabling experience.three generations family work homes easy see caring nature. family pride quality care clients receive every single day.we recruiting care assistants work reputable newly refurbished home, drumdarroch. home modern, purpose built single storey building registered provide care nursing 41 clients.this fantastic opportunity anyone passion caring take new exciting challenge within company. svq level 2 care (not essential full training given)must flexible working shift patternsgood communication skillscaring naturework well part team priority rewards scheme staff membersauto enrolment pension schemeenhanced rate pay additional shifts (over contracted hours)svq training providedadditional annual leave incentive length servicehighly competitive rates paystrong support network.established, reputable, forward thinking employer. hospital & health care health care provider gb full-time"
8,0,"web developer, web forensics gb, bir, birmingham friend mts leading provider technology media entertainment industry. specialising video security, provide integrated technology products 'cloud' applications global client base ranging satellite/cable broadcasters sports leagues movie studios. research develop everything in-house, variety departments working technology components cemented reputation industry leader. rolewe seeking web development engineers join team working video search systems. successful candidate involved development cutting-edge technologies web analytics video processing arenas, specific focus applicable clients entertainment industry. role presents opportunity work large-scale distributed application use many major global media companies satellite/cable broadcasters sports video producers, movie studios.the position requires individuals highly analytical, good understanding network communications, passion problem solving, ability work pressure meet deadlines.responsibilitiesconducting research new video delivery technologiesworking part team large-scale application use daily major global media companiestesting, debugging proving new technologiesliaising teams within company working related technologies (such video fingerprinting watermarking) ensure delivery integrated service clients knowledge tcp/ip fundamentals, ability operate packet analysis tools (eg wireshark)knowledge unix/linux along basic unix server setup.experience php, html, javascript, jquery, css &amp; json.experience website tools, firebug equivalent.familiarity databases (mysql other)version control system experience (git, svn, clearcase)passion online forensics beng/meng/bsc/msc relevant subject equivalent experienceprior experience variety l4 - l7 protocols desirableknowledge media technologies, video codecs (h.264, etc), audio codecs (aac, etc), delivery protocols (rtmp, http streaming hls, etc) bonuscommercial experience c/c++ desirableknowledge mvc pattern based development, familiarity zend framework particular bonus essential information technology services engineering gb full-time"
9,0,"data scientist - full-time consultant us, ca, 92101 embarke increasing email opens clicks marketers 5-20%...automatically. performing behavior analysis user, allows us deliver messages optimized individual sent time person likely engage.ultimately, give marketers clicks revenue. give consumers content actually want engage with, reducing desire click delete spam button! we’re techstars + microsoft accelerator graduates, we’re funded, great benefits, kegerator, 5000 sqft collaborative work environment great views downtown san diego. embarkeembarke performs behavioral analysis email users help marketers communicate effectively. process 25 million emails per month collecting terabytes data. analysis increasing opens clicks 5-20%...automatically.ultimately, give marketers clicks revenue. help give customers content care decreases likelihood delete mark message spam.we’re techstars + microsoft accelerator graduates, we’re funded, great benefits, kegerator, 5000 sqft collaborative work environment 10th story views downtown san diego.we want extraordinary data scientist take analysis next level. challenge?about roleour customers email marketers 100,000 users biggest customers million users. product collects behavioral data users optimizes emails receive based variety factors. need data scientist make test new predictive models data. comfortable wrangling large amounts data well slinging code analysis. use tools techniques prefer, long effective.we small extremely impactful team. solve problems aggressively, learn ton along way lot fun it. also use lean startup principles flat structure—everyone owner.we need someone will:build new predictive models based user behavioral data enhance models have. technique ok!test models, get feedback, adjust them.prove figure models better now.recommend new data sources models methods collect it.build something change landscape email marketing industry.participate business aggressively solve problems. right candidate probably graduate degree related field, similar level experienceseveral years experience big data outside academiainterested solving hard unique problemsexperience ad platforms, clustering, machine learning nice havepleasure work withlegally authorized work u.s. employer learn us here.values – culture built transparency need improve daily experience customers end consumers. believe taking ownership do, learning continuously celebrating wins together.history – founded may 2011, embarke launched first beta product two months later, gone several product iterations since. founders arrived recent product offering (using behavioral analysis improve email marketing) attending 3-month-long techstars + microsoft accelerator seattle. today embarke funded poised huge growth.benefits – offer medical/dental/vision insurance, 401(k) plan, stock options, pto, paid holidays.perks – located downtown san diego share office several startups, there’s ton intellectual stimulation….and kegerator. we’re growing, we’re looking build perks around team’s needs wants. us"
